content,country,recipient,sender,timestamp
Quite ok but a bit ex... U better go eat smth now else i'll feel guilty...,NL,129876555,92-9875520,1516364555
Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705,RO,129876573,999999994,1516364869
Thank u. IT BETTER WORK OUT CAUSE I WILL FEEL USED OTHERWISE,PF,129876594,929875492,1516364276
Ok i wont call or disturb any one. I know all are avoiding me. I am a burden for all,BJ,129876573,929875459,1516365744
Fine. Do you remember me.,GH,12-9876599,92-9875466,1516365170
Going for dinner.msg you after.,PS,12-9876631,92-9875531,1516366071
URGENT! We are trying to contact you. Last weekends draw shows that you have won a �900 prize GUARANTEED. Call 09061701851. Claim code K61. Valid 12hours only,LY,129876565,999999992,1516366035
K come to nordstrom when you're done,BW,12-9876558,929875526,1516365564
Been running but only managed 5 minutes and then needed oxygen! Might have to resort to the roller option!,TH,12-9876587,92-9875467,1516364229
I am taking you for italian food. How about a pretty dress with no panties? :),MO,129876628,92-9875518,1516365154
"Dude. What's up. How Teresa. Hope you have been okay. When i didnt hear from these people, i called them and they had received the package since dec  &lt;#&gt; . Just thot you'ld like to know. Do have a fantastic year and all the best with your reading. Plus if you can really really Bam first aid for Usmle, then your work is done.",LB,129876618,929875449,1516364293
IMPORTANT MESSAGE. This is a final contact attempt. You have important messages waiting out our customer claims dept. Expires 13/4/04. Call 08717507382 NOW!,TV,12-9876544,999999996,1516365438
"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT",AT,129876589,999999998,1516365646
I'll probably be around mu a lot,GM,129876623,929875509,1516365561
TaKe CaRE n gET WeLL sOOn,CV,129876605,92-9875452,1516365959
"TheMob>Hit the link to get a premium Pink Panther game, the new no. 1 from Sugababes, a crazy Zebra animation or a badass Hoody wallpaper-all 4 FREE!",AG,12-9876576,999999998,1516364864
Hiya do u like the hlday pics looked horrible in them so took mo out! Hows the camp Amrca thing? Speak soon Serena:),NR,12-9876572,92-9875501,1516365101
Just sing HU. I think its also important to find someone female that know the place well preferably a citizen that is also smart to help you navigate through. Even things like choosing a phone plan require guidance. When in doubt ask especially girls.,GG,12-9876630,92-9875520,1516364427
This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again!,VI,12-9876562,929875449,1516365781
"Hey sweet, I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss*",KR,12-9876581,92-9875496,1516365992
"I wake up long ago already... Dunno, what other thing?",RE,129876548,92-9875454,1516365780
He didn't see his shadow. We get an early spring yay,KP,129876580,92-9875436,1516365307
"Yeah, we can probably swing by once my roommate finishes up with his girl",CM,129876575,92-9875516,1516365453
"Gosh that , what a pain. Spose I better come then.",EG,12-9876547,929875466,1516364661
K..k:)where are you?how did you performed?,OM,129876627,929875452,1516364714
"I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment.",ML,12-9876575,92-9875511,1516365844
"Aight, sounds good. When do you want me to come down?",GI,129876594,92-9875495,1516364931
"They can try! They can get lost, in fact. Tee hee",PE,12-9876541,92-9875509,1516365767
We have to pick rayan macleran there.,FJ,12-9876629,929875437,1516365447
Taka lor. Wat time u wan 2 come n look 4 us?,VI,12-9876560,92-9875506,1516365230
i am seeking a lady in the street and a freak in the sheets. Is that you?,SB,12-9876613,92-9875462,1516366052
Wat uniform? In where get?,BO,12-9876543,929875452,1516364606
cThen i thk shd b enuff.. Still got conclusion n contents pg n references.. I'll b doing da contents pg n cover pg..,FO,12-9876581,929875480,1516364398
I'm going out to buy mum's present ar.,AT,129876556,92-9875446,1516365785
Yep. I do like the pink furniture tho.,MK,12-9876612,929875447,1516365720
After the drug she will be able to eat.,TO,129876587,92-9875435,1516364614
"St andre, virgil's cream",KR,129876583,929875510,1516365130
"Im in inperialmusic listening2the weirdest track ever by��leafcutter john��-sounds like insects being molested&someone plumbing,remixed by evil men on acid!",SI,12-9876579,92-9875526,1516365419
Tone Club: Your subs has now expired 2 re-sub reply MONOC 4 monos or POLYC 4 polys 1 weekly @ 150p per week Txt STOP 2 stop This msg free Stream 0871212025016,CO,12-9876558,999999996,1516364473
Lol! Oops sorry! Have fun.,NE,129876551,929875456,1516365095
Sorry! U can not unsubscribe yet. THE MOB offer package has a min term of 54 weeks> pls resubmit request after expiry. Reply THEMOB HELP 4 more info,CA,129876574,999999994,1516365447
Yeah I can still give you a ride,GZ,12-9876573,929875470,1516364530
"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same.",MK,12-9876548,92-9875526,1516365080
Nope but i'll b going 2 sch on fri quite early lor cos mys sis got paper in da morn :-),BS,12-9876621,929875477,1516366109
Aight well keep me informed,MC,12-9876609,92-9875443,1516365680
Yes we are chatting too.,PK,129876625,929875447,1516365488
"If you're still up, maybe leave the credit card so I can get gas when I get back like he told me to",CX,129876590,92-9875447,1516364227
No:-)i got rumour that you going to buy apartment in chennai:-),OM,12-9876590,929875454,1516364539
How much did ur hdd casing cost.,CH,129876543,92-9875452,1516365821
R u here yet? I'm wearing blue shirt n black pants.,PR,129876621,92-9875517,1516364649
"I love you !!! You know? Can you feel it? Does it make your belly warm? I wish it does, my love ... I shall meet you in your dreams, Ahmad ... *adoring kiss*",RO,129876614,92-9875525,1516365895
Joy's father is John. Then John is the NAME of Joy's father. Mandan,PF,12-9876614,929875508,1516364206
"U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at �350! Dial 08712300220 to claim - National Rate Call. Bx526, SW73SS",ZA,129876609,999999997,1516364843
"Hiya , have u been paying money into my account? If so, thanks. Got a pleasant surprise when i checked my balance -u c, i don't get statements 4 that acc",CV,129876617,92-9875499,1516364484
CERI U REBEL! SWEET DREAMZ ME LITTLE BUDDY!! C YA 2MORO! WHO NEEDS BLOKES,NU,12-9876630,929875486,1516365048
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,SH,12-9876603,999999996,1516364424
You said to me before i went back to bed that you can't sleep for anything.,FO,12-9876626,929875502,1516365527
\YEH I AM DEF UP4 SOMETHING SAT,AZ,12-9876539,92-9875471,1516364854
WOT STUDENT DISCOUNT CAN U GET ON BOOKS?,CH,12-9876570,929875489,1516366022
I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That  &lt;#&gt;  dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that.,IN,12-9876565,92-9875445,1516365635
"Aight text me when you're back at mu and I'll swing by, need somebody to get the door for me",TT,12-9876601,92-9875449,1516365378
Will purchase d stuff today and mail to you. Do you have a po box number?,ST,12-9876601,929875433,1516364570
He fucking chickened out. He messaged me he would be late and woould buzz me and then I didn't hear a word from him,MS,129876627,929875456,1516365176
No got new job at bar in airport on satsgettin 4.47per hour but means no lie in! keep in touch,MC,129876543,929875525,1516365174
PRIVATE! Your 2003 Account Statement for 078,OM,129876565,999999998,1516364793
You still at the game?,JE,12-9876614,929875497,1516365937
"Whats that coming over the hill..... Is it a monster! Hope you have a great day. Things r going fine here, busy though!",TO,12-9876610,92-9875437,1516365879
Leave it de:-). Start Prepare for next:-)..,MR,12-9876583,929875512,1516364943
Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,AD,129876584,92-9875441,1516364963
K... Must book a not huh? so going for yoga basic on sunday?,CG,12-9876576,929875434,1516365994
Still at west coast... Haiz... ��'ll take forever to come back...,BJ,12-9876626,929875490,1516365389
